VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0508871304660969,0.0446400031631757,0.0565405627551793,NaN
0.5,1,40,40,0.0572635644588217,0.051357879858656,0.0619009556618658,NaN
0.5,16,40,40,0.0934994140156744,0.0900501865385324,0.09684455749392,NaN
0.5,full,40,40,0.106777029441811,NaN,0.109978553492895,NaN
2,0.5,40,40,0.0738663841252111,0.067922174216645,0.0809214444539017,NaN
2,1,40,40,0.102236572330151,0.0932262676631636,0.116893162152702,NaN
2,16,40,40,0.103412271379481,0.0973089768853286,0.113495560507548,NaN
2,full,40,40,0.129158952281309,0.125115117871669,0.131913043395091,NaN
4,0.5,40,40,0.0829545078472933,0.0798379583491553,0.0857793330837599,NaN
4,1,40,40,0.0834713257380101,0.0779835542287721,0.0878677530413468,NaN
4,16,40,40,0.115213341204676,0.111416889743145,0.119510749110567,NaN
4,full,40,40,0.12485743872383,0.114667078103256,0.127642131380808,NaN
8,0.5,40,40,0.0704680709514231,NaN,0.0916674385156311,NaN
8,1,40,40,0.10210985180739,0.097585891788457,0.107247452010046,NaN
8,16,40,40,0.138810105428488,0.13574954443921,0.141835197232165,NaN
8,full,40,40,0.154997476706617,0.153042295901722,NaN,NaN
10,0.5,40,40,0.0527501871781448,NaN,0.058817057379445,NaN
10,1,40,40,0.0775417308516533,0.0736338036656297,0.0815500004379413,NaN
10,16,40,40,0.124732477794305,0.122034764467453,0.131876410998754,NaN
10,full,40,40,0.134029326513466,0.129672165921708,0.148563463303444,NaN
12,0.5,40,40,0.0390256657980671,NaN,0.0448073367391605,NaN
12,1,40,40,0.067704086541112,0.0600276656981803,0.0732949145476454,NaN
12,16,40,40,0.154429503515072,0.148049129457679,0.158961997911053,NaN
12,full,40,40,0.132069081171056,0.129552509905585,0.135672034735876,NaN
14,0.5,40,40,NaN,NaN,NaN,NaN
14,1,40,40,0.0399999925495557,NaN,0.0539608305004231,NaN
14,16,40,40,0.123855705214286,0.121199524999641,0.126236474396354,NaN
14,full,40,40,0.133453037638163,0.129643709327866,0.13670577642581,NaN
16,0.5,40,40,0.0385928818702142,NaN,0.0465155495832372,NaN
16,1,40,40,NaN,NaN,NaN,NaN
16,16,40,40,0.153693326589634,0.132094298689909,0.159791627717833,NaN
16,full,40,40,0.140383398877641,0.136936555364225,0.143910351739993,NaN
